Nombre	Provincia	Cuenta Individual	Latitud	Longitud	day	month	year
Ara macao	Alajuela	1	10.686364	-84.20616	4	1	2023
Ara macao	Alajuela	3	10.686364	-84.20616	31	8	2023
Ara macao	Alajuela	2	9.911766	-84.52359	4	7	2023
Ara macao	Alajuela	4	10.470757	-84.63645	30	12	2023
Ara macao	Alajuela	2	10.374188	-84.28173	30	6	2023
Ara macao	Alajuela	1	10.676374	-84.23306	30	7	2023
Ara macao	Alajuela	2	10.362586	-84.50364	26	7	2023
Ara macao	Alajuela	2	9.911766	-84.52359	4	7	2023
Ara macao	Alajuela	2	10.356112	-84.51478	10	7	2023
Ara macao	Alajuela	4	9.913765	-84.56686	13	1	2023
Ara macao	Alajuela	2	10.362586	-84.50364	21	7	2023
Ara macao	Alajuela	2	10.685005	-84.193	5	6	2023
Ara macao	Alajuela	2	10.371296	-84.321304	18	7	2023
Ara macao	Alajuela	2	10.6767	-84.2238	21	2	2023
Ara macao	Alajuela	3	10.327278	-84.434395	11	6	2023
Ara macao	Alajuela	2	10.386163	-84.339424	13	1	2023
Ara macao	Alajuela	2	10.362827	-84.499954	21	12	2023
Ara macao	Alajuela	4	10.656318	-84.257454	7	3	2023
Ara macao	Alajuela	4	10.68515	-84.18112	22	2	2023
Ara macao	Alajuela	2	10.686364	-84.20616	11	6	2023
Ara macao	Alajuela	2	10.685918	-84.19221	1	8	2023
Ara macao	Alajuela	2	10.327756	-84.53401	30	6	2023
Ara macao	Alajuela	6	10.38546	-84.181145	15	5	2023
Ara macao	Alajuela	2	10.686635	-84.1959	30	6	2023
Ara macao	Alajuela	2	10.686364	-84.20616	6	6	2023
Ara macao	Alajuela	2	10.38844	-84.611145	6	1	2023
Ara macao	Alajuela	1	10.680897	-84.20463	8	1	2023
Ara macao	Alajuela	14	10.685734	-84.44694	2	6	2023
Ara macao	Alajuela	2	10.391027	-84.585976	2	2	2023
Ara macao	Alajuela	8	10.78593	-84.19184	4	11	2023
Ara macao	Alajuela	4	9.932425	-84.38173	3	1	2023
Ara macao	Alajuela	2	10.686364	-84.20616	29	12	2023
Ara macao	Alajuela	2	10.356112	-84.51478	28	6	2023
Ara macao	Alajuela	2	10.492217	-84.525955	20	6	2023
Ara macao	Alajuela	1	9.923898	-84.39324	24	4	2023
Ara macao	Alajuela	6	9.899406	-84.64733	13	7	2023
Ara macao	Alajuela	3	9.913765	-84.56686	30	5	2023
Ara macao	Alajuela	5	10.686364	-84.20616	10	10	2023
Ara macao	Alajuela	5	10.711517	-84.206795	25	11	2023
Ara macao	Alajuela	2	9.921268	-84.51464	13	5	2023
Ara macao	Alajuela	4	10.68515	-84.18112	5	6	2023
Ara macao	Alajuela	5	10.344411	-84.51119	2	8	2023
Ara macao	Alajuela	4	10.308613	-84.536194	5	1	2023
Ara macao	Alajuela	1	10.471624	-84.645515	25	2	2023
Ara macao	Alajuela	1	10.491507	-84.49799	22	11	2023
Ara macao	Alajuela	4	10.68292	-84.205475	14	1	2023
Ara macao	Alajuela	2	9.900908	-84.603264	13	5	2023
Ara macao	Alajuela	2	10.686364	-84.20616	22	12	2023
